Ref,Val,Package,PosX,PosY,Rot,Side
"FU4","ESP32-S3-WROOM-1-N16R8 (Espressif Systems)","ESP32-S3-WROOM-1",101.000000,-103.000000,0.000000,bottom
"RD10","SK6812 SIDE-A (Normand Electronic Co Ltd)","LED_SK6812-SIDE-A",122.000000,-108.000000,135.000000,bottom
"RD11","SK6812 SIDE-A (Normand Electronic Co Ltd)","LED_SK6812-SIDE-A",121.000000,-85.000000,90.000000,bottom
"RD12","SK6812 SIDE-A (Normand Electronic Co Ltd)","LED_SK6812-SIDE-A",121.000000,-55.000000,90.000000,bottom
"RD13","SK6812 SIDE-A (Normand Electronic Co Ltd)","LED_SK6812-SIDE-A",122.000000,-32.000000,45.000000,bottom
"RD14","SK6812 SIDE-A (Normand Electronic Co Ltd)","LED_SK6812-SIDE-A",138.000000,-31.000000,0.000000,bottom
"RD15","SK6812 SIDE-A (Normand Electronic Co Ltd)","LED_SK6812-SIDE-A",162.000000,-31.000000,0.000000,bottom
"RD16","SK6812 SIDE-A (Normand Electronic Co Ltd)","LED_SK6812-SIDE-A",178.000000,-32.000000,-45.000000,bottom
"RD17","SK6812 SIDE-A (Normand Electronic Co Ltd)","LED_SK6812-SIDE-A",179.000000,-55.000000,-90.000000,bottom
"RD18","SK6812 SIDE-A (Normand Electronic Co Ltd)","LED_SK6812-SIDE-A",179.000000,-85.000000,-90.000000,bottom
"RD19","SK6812 SIDE-A (Normand Electronic Co Ltd)","LED_SK6812-SIDE-A",178.000000,-108.000000,-135.000000,bottom
