UsbSMU Set Voltage,UsbSMU Set Current Min,UsbSMU Set Current Max,UsbSMU Meas ADC Voltage,UsbSMU Meas ADC Current,UsbSMU Meas Voltage,UsbSMU Meas Current
0.0,-1,1,13687.0,-15952.0,0.016753721982240677,0.00018791620095726103,1.484
1.0,-1,1,130796.0,-7884.0,0.8232094049453735,0.00010668590402929112,1.444
2.0,-1,1,266150.0,1375.0,1.7553068399429321,-5.653963853546884e-06,1.402
3.0,-1,1,400724.0,10653.0,2.682033061981201,-0.00010005573130911216,1.361
4.0,-1,1,533795.0,19894.0,3.5984086990356445,-0.0001718193816486746,1.321
5.0,-1,1,673533.0,29523.0,4.560696601867676,-0.00026524701388552785,1.279
6.0,-1,1,817227.0,39458.0,5.550225734710693,-0.0003549878892954439,1.237
7.0,-1,1,968018.0,50016.0,6.58862829208374,-0.000418792333221063,1.195
8.0,-1,1,1129282.0,61149.0,7.699151992797852,-0.0005175583646632731,1.154
9.0,-1,1,1369529.0,76811.0,9.353580474853516,-0.0009318501106463373,1.113
10.0,-1,1,1517865.0,87420.0,10.375077247619629,-0.0009269036818295717,1.071
11.0,-1,1,1659714.0,97073.0,11.351901054382324,-0.0010587081778794527,1.031
12.0,-1,1,1728633.0,101461.0,11.826502799987793,-0.0012072534300386906,.990
11.0,-1,1,1659825.0,97140.0,11.352666854858398,-0.0010421796469017863,1.031
10.0,-1,1,1518113.0,87438.0,10.376785278320312,-0.0009268203866668046,1.071
9.0,-1,1,1369664.0,76916.0,9.354510307312012,-0.0009063627803698182,1.113
8.0,-1,1,1224220.0,66758.0,8.352619171142578,-0.0008431706810370088,1.154
7.0,-1,1,1079797.0,57082.0,7.35837984085083,-0.0006672965828329325,1.195
6.0,-1,1,930019.0,46804.0,6.326952934265137,-0.0005520268459804356,1.237
5.0,-1,1,783105.0,36822.0,5.315249443054199,-0.00041055120527744293,1.279
4.0,-1,1,632785.0,26788.0,4.28009033203125,-0.00021676404867321253,1.321
3.0,-1,1,401132.0,10722.0,2.684842586517334,-8.594146493123844e-05,1.361
2.0,-1,1,266173.0,1409.0,1.7554652690887451,3.4000515825027833e-06,1.402
1.0,-1,1,130868.0,-7836.0,0.8237051963806152,0.00011867894500028342,1.444
