UsbSMU Set Voltage,UsbSMU Set Current Min,UsbSMU Set Current Max,UsbSMU Meas ADC Voltage,UsbSMU Meas ADC Current,UsbSMU Meas Voltage,UsbSMU Meas Current
0.0,-1,1,13790.0,-16040.0,0.017463011667132378,0.00016059716290328652
0.02,-1,1,13724.0,-15984.0,0.01700851507484913,0.00017752437270246446
0.04,-1,1,13781.0,-16001.0,0.017401037737727165,0.00017268765077460557
0.06,-1,1,13734.0,-16020.0,0.017077378928661346,0.00016551432781852782
0.08,-1,1,13767.0,-16012.0,0.01730463095009327,0.00016933036386035383
0.1,-1,1,13750.0,-16004.0,0.017187556251883507,0.00017230767116416246
0.12,-1,1,15292.0,-15901.0,0.027806341648101807,0.0001724502071738243
0.14,-1,1,17914.0,-15704.0,0.04586239531636238,0.000173452528542839
0.16,-1,1,20390.0,-15516.0,0.06291303783655167,0.0001786064967745915
0.18,-1,1,23024.0,-15336.0,0.08105174452066422,0.00017335421580355614
0.2,-1,1,25448.0,-15165.0,0.09774429351091385,0.0001699574349913746
0.22,-1,1,28182.0,-14992.0,0.11657162010669708,0.00016700010746717453
0.24,-1,1,30731.0,-14814.0,0.1341249942779541,0.00016572134336456656
0.26,-1,1,33358.0,-14635.0,0.15221546590328217,0.00016646014410071075
0.28,-1,1,35898.0,-14439.0,0.16970683634281158,0.0001673221995588392
0.3,-1,1,38538.0,-14266.0,0.18788686394691467,0.00016508369299117476
0.32,-1,1,41188.0,-14064.0,0.20613573491573334,0.00016714555385988206
0.34,-1,1,43680.0,-13916.0,0.22329658269882202,0.00015958955918904394
0.36,-1,1,46074.0,-13750.0,0.23978252708911896,0.00015697050548624247
0.38,-1,1,48668.0,-13543.0,0.25764578580856323,0.00015955240814946592
0.4,-1,1,51313.0,-13416.0,0.2758602201938629,0.00014737875608261675
0.42,-1,1,53853.0,-13227.0,0.29335159063339233,0.00014983696746639907
0.44,-1,1,56413.0,-13050.0,0.3109806776046753,0.00014841817028354853
0.46,-1,1,58945.0,-12886.0,0.32841694355010986,0.00014148502668831497
0.48,-1,1,61554.0,-12702.0,0.3463834822177887,0.0001413660211255774
0.5,-1,1,63957.0,-12527.0,0.3629314601421356,0.0001414239377481863
0.52,-1,1,69261.0,-12161.0,0.3994567394256592,0.00013930904970038682
0.54,-1,1,71855.0,-12000.0,0.4173199534416199,0.00013179570669308305
0.56,-1,1,74376.0,-11814.0,0.4346805512905121,0.00013587091234512627
0.58,-1,1,76854.0,-11643.0,0.4517449140548706,0.00013131575542502105
0.6,-1,1,79461.0,-11472.0,0.4696977138519287,0.00012731949391309172
0.62,-1,1,82109.0,-11273.0,0.48793280124664307,0.0001299597352044657
0.64,-1,1,84545.0,-11101.0,0.5047080516815186,0.0001307766797253862
0.66,-1,1,87055.0,-10952.0,0.5219928026199341,0.00012006543693132699
0.68,-1,1,89689.0,-10756.0,0.5401314496994019,0.00012418298865668476
0.7000000000000001,-1,1,92351.0,-10564.0,0.5584629774093628,0.00012554349086713046
0.72,-1,1,94749.0,-10430.0,0.5749765038490295,0.0001140702297561802
0.74,-1,1,97293.0,-10242.0,0.5924953818321228,0.00011804618407040834
0.76,-1,1,99931.0,-10063.0,0.6106616854667664,0.0001119549197028391
0.78,-1,1,102498.0,-9893.0,0.6283389329910278,0.00010903673683060333
0.8,-1,1,105048.0,-9696.0,0.6458991765975952,0.0001130746168200858
0.8200000000000001,-1,1,107566.0,-9520.0,0.663239061832428,0.00011111664935015142
0.84,-1,1,110396.0,-9335.0,0.6827275156974792,0.00010930041753454134
0.86,-1,1,112934.0,-9177.0,0.7002051472663879,0.00010296477557858452
0.88,-1,1,115967.0,-8976.0,0.7210914492607117,9.847601904766634e-05
0.9,-1,1,118401.0,-8793.0,0.7378528714179993,9.598027099855244e-05
0.92,-1,1,122777.0,-8627.0,0.7679876089096069,5.9530942962737754e-05
0.9400000000000001,-1,1,120406.0,-8471.0,0.7516600489616394,0.00014499919780064374
0.96,-1,1,124403.0,-8272.0,0.7791848182678223,0.00013160309754312038
0.98,-1,1,127128.0,-8118.0,0.7979502081871033,0.0001146421636804007
1.0,-1,1,129716.0,-7960.0,0.8157721161842346,0.000103094702353701
1.02,-1,1,132614.0,-7783.0,0.8357288837432861,9.88800820778124e-05
1.04,-1,1,135011.0,-7631.0,0.8522354364395142,9.094541746890172e-05
1.06,-1,1,137666.0,-7425.0,0.8705187439918518,9.865977335721254e-05
1.08,-1,1,140258.0,-7246.0,0.8883681893348694,9.634294110583141e-05
1.1,-1,1,142828.0,-7076.0,0.9060661792755127,9.226663678418845e-05
1.12,-1,1,147745.0,-6754.0,0.9399263858795166,8.277207234641537e-05
1.1400000000000001,-1,1,150545.0,-6534.0,0.9592082500457764,8.141541911754757e-05
1.16,-1,1,153127.0,-6323.0,0.9769889712333679,9.734630293678492e-05
1.18,-1,1,155589.0,-6190.0,0.9939431548118591,8.395534678129479e-05
1.2,-1,1,158210.0,-5999.0,1.0119922161102295,8.623516623629257e-05
1.22,-1,1,160813.0,-5828.0,1.0299174785614014,8.187903586076573e-05
1.24,-1,1,163162.0,-5637.0,1.0460935831069946,8.845122647471726e-05
1.26,-1,1,165621.0,-5488.0,1.0630271434783936,7.991689199116081e-05
1.28,-1,1,168249.0,-5308.0,1.0811245441436768,7.632233609911054e-05
1.3,-1,1,171366.0,-5090.0,1.1025893688201904,7.988541619852185e-05
1.32,-1,1,173835.0,-4914.0,1.1195918321609497,7.878635369706899e-05
1.34,-1,1,176358.0,-4723.0,1.1369661092758179,7.982665556482971e-05
1.36,-1,1,178928.0,-4559.0,1.1546640396118164,7.349241059273481e-05
1.3800000000000001,-1,1,181635.0,-4389.0,1.1733055114746094,6.987572851357982e-05
1.4000000000000001,-1,1,184213.0,-4206.0,1.1910585165023804,6.977624434512109e-05
1.42,-1,1,186827.0,-4040.0,1.2090595960617065,6.474085239460692e-05
1.44,-1,1,189517.0,-3849.0,1.227583885192871,6.288585427682847e-05
1.46,-1,1,192223.0,-3661.0,1.2462183237075806,6.2667801103089e-05
1.48,-1,1,194822.0,-3480.0,1.2641160488128662,6.36865443084389e-05
1.5,-1,1,197383.0,-3317.0,1.2817519903182983,5.8951336541213095e-05
1.52,-1,1,199942.0,-3154.0,1.2993742227554321,4.828176315641031e-05
1.54,-1,1,202492.0,-2982.0,1.3169344663619995,4.4385771616362035e-05
1.56,-1,1,205083.0,-2787.0,1.3347769975662231,4.5247270463733e-05
1.58,-1,1,207767.0,-2566.0,1.3532600402832031,5.634028639178723e-05
1.6,-1,1,210505.0,-2403.0,1.3721150159835815,4.80488124594558e-05
1.62,-1,1,212951.0,-2246.0,1.3889589309692383,4.249145422363654e-05
1.6400000000000001,-1,1,215666.0,-2046.0,1.4076554775238037,4.573119440465234e-05
1.6600000000000001,-1,1,218123.0,-1900.0,1.4245752096176147,3.5418914194451645e-05
1.68,-1,1,220753.0,-1698.0,1.4426865577697754,3.873876266879961e-05
1.7,-1,1,225973.0,-1336.0,1.4786332845687866,3.774025753955357e-05
1.72,-1,1,228408.0,-1168.0,1.4954016208648682,3.428291529417038e-05
1.74,-1,1,231105.0,-1002.0,1.5139740705490112,2.7070256692240946e-05
1.76,-1,1,233708.0,-803.0,1.5318994522094727,3.2826210372149944e-05
1.78,-1,1,236363.0,-605.0,1.5501827001571655,3.37289493472781e-05
1.8,-1,1,239055.0,-454.0,1.5687206983566284,2.3876918930909596e-05
1.82,-1,1,241582.0,-273.0,1.5861226320266724,2.321794818271883e-05
1.84,-1,1,244164.0,-104.0,1.6039031744003296,1.9420964235905558e-05
1.86,-1,1,246741.0,65.0,1.6216493844985962,1.4505617400573101e-05
1.8800000000000001,-1,1,249369.0,259.0,1.6397467851638794,1.854294714576099e-05
1.9000000000000001,-1,1,251956.0,450.0,1.6575617790222168,1.768611946317833e-05
1.92,-1,1,254553.0,617.0,1.6754456758499146,1.4508391359413508e-05
1.94,-1,1,257206.0,791.0,1.693715214729309,1.0732385817391332e-05
1.96,-1,1,259635.0,976.0,1.710442066192627,1.3309853784448933e-05
1.98,-1,1,262251.0,1140.0,1.7284568548202515,4.439158601599047e-06
2.0,-1,1,264875.0,1349.0,1.7465267181396484,1.838445314206183e-05
2.02,-1,1,267598.0,1528.0,1.7652784585952759,7.401039056276204e-06
2.04,-1,1,270116.0,1678.0,1.7826181650161743,7.959968570503406e-06
2.06,-1,1,272762.0,1863.0,1.8008395433425903,-1.431808527740941e-06
2.08,-1,1,275397.0,2034.0,1.818985104560852,-4.968796019966248e-06
2.1,-1,1,277917.0,2232.0,1.836338758468628,6.666681429123855e-07
2.12,-1,1,280431.0,2399.0,1.8536510467529297,-5.626571237371536e-06
2.14,-1,1,283081.0,2569.0,1.871899962425232,-1.2658495506912004e-05
2.16,-1,1,285710.0,2746.0,1.8900041580200195,-1.0123530046257656e-05
2.18,-1,1,288308.0,2947.0,1.9078950881958008,-4.307396466174396e-06
2.2,-1,1,290852.0,3122.0,1.925413966178894,-8.222656106227078e-06
2.22,-1,1,293545.0,3306.0,1.9439588785171509,-1.295453512284439e-05
2.24,-1,1,296188.0,3469.0,1.9621596336364746,-1.7272110198973678e-05
2.2600000000000002,-1,1,298865.0,3655.0,1.980594277381897,-2.014660094573628e-05
2.2800000000000002,-1,1,303943.0,4016.0,2.015563488006592,-2.22235539695248e-05
2.3000000000000003,-1,1,306553.0,4196.0,2.033536911010742,-2.4680039132363163e-05
2.32,-1,1,309226.0,4391.0,2.0519440174102783,-2.266018964292016e-05
2.34,-1,1,311853.0,4562.0,2.0700345039367676,-2.4519460566807538e-05
2.36,-1,1,314364.0,4746.0,2.0873262882232666,-2.565667818998918e-05
2.38,-1,1,317009.0,4933.0,2.1055407524108887,-2.5415472919121385e-05
2.4,-1,1,319596.0,5088.0,2.1233556270599365,-3.426766852498986e-05
2.42,-1,1,322191.0,5236.0,2.141225814819336,-4.410054680192843e-05
2.44,-1,1,324645.0,5474.0,2.1581249237060547,-3.090721293119714e-05
2.46,-1,1,327415.0,5659.0,2.1772000789642334,-3.1565214158035815e-05
2.48,-1,1,329953.0,5853.0,2.1946778297424316,-2.9386179448920302e-05
2.5,-1,1,332450.0,6017.0,2.2118732929229736,-3.238469798816368e-05
2.52,-1,1,335189.0,6209.0,2.2307348251342773,-3.443840250838548e-05
2.54,-1,1,338007.0,6396.0,2.25014066696167,-3.503657353576273e-05
2.56,-1,1,340493.0,6582.0,2.2672600746154785,-3.4896151191787794e-05
2.58,-1,1,343283.0,6774.0,2.286473035812378,-3.169787669321522e-05
2.6,-1,1,345823.0,6916.0,2.303964614868164,-4.145189450355247e-05
2.62,-1,1,348317.0,7065.0,2.321139097213745,-5.222340769250877e-05
2.64,-1,1,350901.0,7262.0,2.3389334678649902,-5.187986607779749e-05
2.66,-1,1,353280.0,7425.0,2.355316162109375,-5.2602088544517756e-05
2.68,-1,1,355854.0,7609.0,2.3730416297912598,-5.082361531094648e-05
2.7,-1,1,358504.0,7797.0,2.3912906646728516,-5.535586387850344e-05
2.72,-1,1,360981.0,7955.0,2.4083480834960938,-5.977450200589374e-05
2.74,-1,1,363746.0,8118.0,2.427388906478882,-6.572934216819704e-05
2.7600000000000002,-1,1,366071.0,8351.0,2.443399667739868,-4.9761256377678365e-05
2.7800000000000002,-1,1,368783.0,8468.0,2.4620754718780518,-6.90271845087409e-05
2.8000000000000003,-1,1,371280.0,8667.0,2.4792709350585938,-6.618726183660328e-05
2.82,-1,1,373855.0,8853.0,2.4970033168792725,-6.456860137404874e-05
2.84,-1,1,376298.0,9031.0,2.513826608657837,-6.345015572151169e-05
2.86,-1,1,379157.0,9217.0,2.5335147380828857,-6.282942922553048e-05
2.88,-1,1,384045.0,9561.0,2.5671753883361816,-6.994359864620492e-05
2.9,-1,1,386616.0,9720.0,2.5848801136016846,-7.707688928348944e-05
2.92,-1,1,389243.0,9913.0,2.602970600128174,-7.631578046130016e-05
2.94,-1,1,391595.0,10093.0,2.6191675662994385,-7.264081068569794e-05
2.96,-1,1,394119.0,10280.0,2.6365485191345215,-7.07819199305959e-05
2.98,-1,1,396707.0,10451.0,2.6543703079223633,-7.210236071841791e-05
3.0,-1,1,399322.0,10609.0,2.6723783016204834,-8.273127605207264e-05
3.02,-1,1,401853.0,10809.0,2.689807653427124,-7.771425589453429e-05
3.04,-1,1,404301.0,10954.0,2.706665515899658,-8.495131623931229e-05
3.06,-1,1,407012.0,11148.0,2.725334405899048,-8.239222370320931e-05
3.08,-1,1,409723.0,11352.0,2.7440035343170166,-8.120812708511949e-05
3.1,-1,1,412152.0,11524.0,2.760730266571045,-8.167021587723866e-05
3.12,-1,1,414734.0,11678.0,2.7785110473632812,-8.988338231574744e-05
3.14,-1,1,417293.0,11871.0,2.796133279800415,-8.642645116196945e-05
3.16,-1,1,419903.0,12043.0,2.8141067028045654,-9.13205003598705e-05
3.18,-1,1,422407.0,12251.0,2.831350088119507,-8.404499385505915e-05
3.2,-1,1,424830.0,12379.0,2.8480358123779297,-9.923495963448659e-05
3.22,-1,1,427607.0,12553.0,2.867159128189087,-0.00010071305587189272
3.24,-1,1,430074.0,12731.0,2.884147882461548,-0.00010117333295056596
3.2600000000000002,-1,1,432518.0,12908.0,2.9009780883789062,-0.0001033908047247678
3.2800000000000002,-1,1,435187.0,13077.0,2.9193577766418457,-0.00010762799502117559
3.3000000000000003,-1,1,437781.0,13278.0,2.9372212886810303,-0.00010045392264146358
3.3200000000000003,-1,1,440309.0,13441.0,2.954629898071289,-0.00010840556933544576
3.34,-1,1,442959.0,13603.0,2.9728786945343018,-0.00011362135410308838
3.36,-1,1,445563.0,13772.0,2.9908108711242676,-0.00011522218119353056
3.38,-1,1,448002.0,13947.0,3.0076067447662354,-0.00012023447925457731
3.4,-1,1,450556.0,14146.0,3.0251946449279785,-0.00011733509745681658
3.42,-1,1,453100.0,14314.0,3.042713165283203,-0.00012171201524324715
3.44,-1,1,455769.0,14525.0,3.0610930919647217,-0.00011126041499665007
3.46,-1,1,460992.0,14864.0,3.0970606803894043,-0.0001228884793817997
3.48,-1,1,463606.0,15030.0,3.1150617599487305,-0.00012834298831876367
3.5,-1,1,466055.0,15221.0,3.1319260597229004,-0.00012296914064791054
3.52,-1,1,468668.0,15397.0,3.1499204635620117,-0.00012826207967009395
3.54,-1,1,471342.0,15568.0,3.168334484100342,-0.00013151824532542378
3.56,-1,1,473742.0,15750.0,3.184861660003662,-0.00013002062041778117
3.58,-1,1,476360.0,15959.0,3.202890157699585,-0.00013173777551855892
3.6,-1,1,478943.0,16107.0,3.2206778526306152,-0.0001332174870185554
3.62,-1,1,481656.0,16338.0,3.2393605709075928,-0.0001205641747219488
3.64,-1,1,484256.0,16512.0,3.257265329360962,-0.00012454058742150664
3.66,-1,1,486738.0,16704.0,3.2743570804595947,-0.00012152207636972889
3.68,-1,1,489349.0,16835.0,3.292337417602539,-0.00013708957703784108
3.7,-1,1,491938.0,17042.0,3.310166120529175,-0.00013043388025835156
3.72,-1,1,494356.0,17207.0,3.326817512512207,-0.00013590989692602307
3.74,-1,1,497048.0,17398.0,3.34535551071167,-0.00013281055726110935
3.7600000000000002,-1,1,499830.0,17565.0,3.3645131587982178,-0.00014120213745627552
3.7800000000000002,-1,1,502623.0,17830.0,3.383747100830078,-0.0001262657024199143
3.8000000000000003,-1,1,505310.0,17966.0,3.4022505283355713,-0.00014079319953452796
3.8200000000000003,-1,1,507940.0,18130.0,3.4203617572784424,-0.00014658870350103825
3.84,-1,1,510578.0,18317.0,3.438528060913086,-0.00014462981198448688
3.86,-1,1,513127.0,18541.0,3.4560813903808594,-0.00013583392137661576
