UsbSMU Set Voltage,UsbSMU Set Current Min,UsbSMU Set Current Max,UsbSMU Meas ADC Voltage,UsbSMU Meas ADC Current,UsbSMU Meas Voltage,UsbSMU Meas Current
0.0,-1,1,13803.0,-16008.0,0.017552543431520462,0.00017446672427468002
0.02,-1,1,13755.0,-16018.0,0.01722198911011219,0.00016787092317827046
0.04,-1,1,13772.0,-15994.0,0.017339063808321953,0.00017560500418767333
0.06,-1,1,13730.0,-15960.0,0.01704983040690422,0.00018499883299227804
0.08,-1,1,13749.0,-15998.0,0.017180675640702248,0.00017356695025227964
0.1,-1,1,13766.0,-15988.0,0.017297741025686264,0.0001766246132319793
0.12,-1,1,13746.0,-16017.0,0.017160015180706978,0.00016867025988176465
0.14,-1,1,15908.0,-15852.0,0.03204834833741188,0.00017016461060848087
0.16,-1,1,18450.0,-15657.0,0.049553487449884415,0.0001761390594765544
0.18,-1,1,21182.0,-15475.0,0.06836704909801483,0.00017482147086411715
0.2,-1,1,23652.0,-15349.0,0.08537637442350388,0.00015627662651240826
0.22,-1,1,26321.0,-15142.0,0.10375609248876572,0.00016249343752861023
0.24,-1,1,28785.0,-14968.0,0.12072409689426422,0.0001618127862457186
0.26,-1,1,31457.0,-14805.0,0.13912448287010193,0.00015705636178608984
0.28,-1,1,34088.0,-14603.0,0.1572425216436386,0.00015995651483535767
0.3,-1,1,36682.0,-14420.0,0.1751057505607605,0.0001594981731614098
0.32,-1,1,39102.0,-14262.0,0.1917707622051239,0.0001518444623798132
0.34,-1,1,41809.0,-14061.0,0.2104121595621109,0.00015833920042496175
0.36,-1,1,44235.0,-13882.0,0.22711850702762604,0.00015777995577082038
0.38,-1,1,46882.0,-13652.0,0.24534669518470764,0.0001673568185651675
0.4,-1,1,49322.0,-13546.0,0.262149453163147,0.00014734997239429504
0.42,-1,1,51940.0,-13362.0,0.2801779806613922,0.0001499269128544256
0.44,-1,1,54611.0,-13123.0,0.2985714375972748,0.0001593459164723754
0.46,-1,1,57405.0,-12957.0,0.3178119361400604,0.00014925772848073393
0.48,-1,1,59760.0,-12806.0,0.33402934670448303,0.00014549685874953866
0.5,-1,1,62719.0,-12614.0,0.35440611839294434,0.00014509994070976973
0.52,-1,1,70602.0,-12265.0,0.4086913764476776,9.872583177639171e-05
0.54,-1,1,69514.0,-12070.0,0.40119898319244385,0.00021509701036848128
0.56,-1,1,70237.0,-11939.0,0.4061778485774994,0.00019972879090346396
0.58,-1,1,73535.0,-11743.0,0.42888906598091125,0.00016534331371076405
0.6,-1,1,76449.0,-11613.0,0.4489559531211853,0.00014244593330658972
0.62,-1,1,79260.0,-11392.0,0.4683135151863098,0.00015182120841927826
0.64,-1,1,81981.0,-11244.0,0.4870513677597046,0.00014340630150400102
0.66,-1,1,84653.0,-11040.0,0.5054517388343811,0.00014608757919631898
0.68,-1,1,87230.0,-10894.0,0.5231979489326477,0.000133778085000813
0.7000000000000001,-1,1,89748.0,-10686.0,0.5405377745628357,0.00014209214714355767
0.72,-1,1,92280.0,-10563.0,0.557974100112915,0.0001242655998794362
0.74,-1,1,94675.0,-10361.0,0.5744669437408447,0.00013165960262995213
0.76,-1,1,97507.0,-10203.0,0.5939691066741943,0.00012496448471210897
0.78,-1,1,100037.0,-10025.0,0.6113916039466858,0.00012156908633187413
0.8,-1,1,102621.0,-9819.0,0.6291859745979309,0.00012652722944039851
0.8200000000000001,-1,1,105166.0,-9689.0,0.6467118263244629,0.00011453399201855063
0.84,-1,1,107780.0,-9513.0,0.6647127866744995,0.00011145765893161297
0.86,-1,1,110408.0,-9341.0,0.6828101277351379,0.00010628341988194734
0.88,-1,1,112977.0,-9139.0,0.7005012035369873,0.00011068152525695041
0.9,-1,1,115426.0,-8947.0,0.7173659205436707,0.0001154773126472719
0.92,-1,1,117993.0,-8751.0,0.7350432276725769,0.00011775714665418491
0.9400000000000001,-1,1,120476.0,-8585.0,0.752142071723938,0.00011565749446162954
0.96,-1,1,123074.0,-8391.0,0.7700328826904297,0.00011979409464402124
0.98,-1,1,125488.0,-8249.0,0.7866565585136414,0.00011052045738324523
1.0,-1,1,128228.0,-8073.0,0.8055251836776733,0.00010572525206953287
1.02,-1,1,130769.0,-7885.0,0.8230234980583191,0.00010812391701620072
1.04,-1,1,133314.0,-7713.0,0.8405492901802063,0.00010478670446900651
1.06,-1,1,135810.0,-7524.0,0.8577376008033752,0.00010560733790043741
1.08,-1,1,138352.0,-7374.0,0.8752427697181702,9.683379175839946e-05
1.1,-1,1,140945.0,-7165.0,0.8930991291999817,0.00010604664566926658
