set_voltage,set_current_min,set_current_max,adc_voltage,adc_current,meas_voltage,meas_current,ref_voltage,ref_current
3,-0.1,0.025,13423,25782,0.1346,0.02305,.002211,
3,-0.1,0.05,30555,53513,0.2799,0.04784,.00461,
3,-0.1,0.075,48920,83393,0.4356,0.07456,.00719,
3,-0.1,0.1,67278,113106,0.5912,0.10124,.00975,
3,-0.1,0.125,84249,140750,0.7351,0.12584,.01212,
3,-0.1,0.15,102278,170051,0.8880,0.15204,.01465,
3,-0.1,0.175,120365,199394,1.0414,0.17827,.01718,
3,-0.1,0.2,139737,226726,1.2056,0.20271,.01989,
3,-0.1,0.225,166640,256337,1.4342,0.22918,.02365,
3,-0.1,0.25,186961,285741,1.6059,0.25547,.02649,
3,-0.1,0.275,204024,312951,1.7507,0.27987,.02889,
3,-0.1,0.3,222255,342447,1.9053,0.30617,.03144,
3,-0.1,0.325,239036,369480,2.0476,0.33034,.03378,
3,-0.1,0.35,257169,398878,2.2016,0.35662,.03632,
