set_voltage,set_current_min,set_current_max,adc_voltage,adc_current,meas_voltage,meas_current,ref_voltage,ref_current
1.0,-0.1,0.1,84470,-105,0.8034,-0.00009,0.885,
2.0,-0.1,0.1,193870,-22705,1.8438,-0.02030,1.925,
4.0,-0.1,0.1,409086,-47224,3.8907,-0.04223,3.967,
6.0,-0.1,0.1,623603,-41367,5.9313,-0.03698,6.00,
8.0,-0.1,0.1,838296,-39158,7.9727,-0.03501,8.03,
10.0,-0.1,0.1,1053266,-38210,10.0172,-0.03417,10.08,
14.0,-0.1,0.1,1487271,-38118,14.1449,-0.03408,14.20,
8.0,-0.1,0.1,838366,-39186,7.9731,-0.03503,8.03,
2.0,-0.1,0.1,194003,-22659,1.8451,-0.02026,1.925,
1.0,-0.1,0.1,84537,-63,0.8040,-0.00917,.885,
