set_voltage,set_current_min,set_current_max,adc_voltage,adc_current,meas_voltage,meas_current
12,-0.1,0.0,25860,54875,0.2029384,0.0261319
12,-0.1,0.025,60437,141757,0.4406469,0.0497134
12,-0.1,0.05,94979,228432,0.6778399,0.0732299
12,-0.1,0.075,129987,316359,0.9185234,0.0970855
12,-0.1,0.1,165012,404180,1.1588565,0.1209315
12,-0.1,0.125,199583,491049,1.3962214,0.1444828
12,-0.1,0.15000000000000002,233991,577498,1.6329610,0.1679371
12,-0.1,0.17500000000000002,268784,664802,1.8722978,0.1916360
12,-0.1,0.2,303479,751918,2.1103084,0.2152597
12,-0.1,0.225,338108,838976,2.3483262,0.2388577
12,-0.1,0.25,372616,925544,2.5854230,0.2623722
12,-0.1,0.275,408163,1014853,2.8296244,0.2865987
12,-0.1,0.30000000000000004,444237,1105510,3.0775154,0.3111660
12,-0.1,0.325,479684,1194396,3.3210640,0.3353447
12,-0.1,0.35000000000000003,514574,1282130,3.5607855,0.3591164
12,-0.1,0.375,549464,1369773,3.8008645,0.3828961
12,-0.1,0.4,584276,1457117,4.0396171,0.4065925
12,-0.1,0.42500000000000004,619221,1544967,4.2797923,0.4304218
12,-0.1,0.45,654306,1633061,4.5210252,0.4543290
12,-0.1,0.47500000000000003,689417,1721303,4.7620935,0.4782749
12,-0.1,0.5,724211,1808712,5.0011554,0.5020018
12,-0.1,0.525,758881,1895846,5.2393794,0.5256371
12,-0.1,0.55,793087,1981751,5.4743872,0.5489553
12,-0.1,0.5750000000000001,827612,2068644,5.7116008,0.5725139
12,-0.1,0.6000000000000001,862695,2156701,5.9526558,0.5964051
12,-0.1,0.625,897765,2244909,6.1936069,0.6203424
12,-0.1,0.65,933222,2334119,6.4374580,0.6445438
12,-0.1,0.675,968858,2423642,6.6820717,0.6688332
12,-0.1,0.7000000000000001,1005007,2514671,6.9304438,0.6935322
12,-0.1,0.7250000000000001,1041262,2605664,7.1795440,0.7182155
12,-0.1,0.75,1075423,2691681,7.4144416,0.7415611
12,-0.1,0.775,1109646,2777740,7.6494775,0.7649119
12,-0.1,0.8,1144653,2865801,7.8899207,0.7887828
12,-0.1,0.8250000000000001,1179470,2953455,8.1291399,0.8125853
12,-0.1,0.8500000000000001,1213845,3039831,8.3653231,0.8360070
12,-0.1,0.875,1248099,3125900,8.6005096,0.8593790
12,-0.1,0.9,1282459,3212493,8.8367548,0.8828809
12,-0.1,0.925,1316690,3298767,9.0723276,0.9062847
12,-0.1,0.9500000000000001,1351061,3385323,9.3081055,0.9297413
12,-0.1,0.9750000000000001,1386484,3474611,9.5514879,0.9540011
12,-0.1,1.0,1421195,3562560,9.7899046,0.9778773
12,-0.1,0.975,1386340,3474534,9.5503969,0.9539834
12,-0.1,0.95,1350783,3385213,9.3061943,0.9297405
12,-0.1,0.925,1316347,3298757,9.0695925,0.9062917
12,-0.1,0.9,1282065,3212524,8.8343716,0.8828927
12,-0.1,0.875,1247650,3126029,8.5975904,0.8594256
12,-0.1,0.85,1213349,3039830,8.3618612,0.8360292
12,-0.1,0.825,1178938,2953306,8.1254854,0.8125883
12,-0.1,0.7999999999999999,1144087,2865670,7.8860321,0.7888017
12,-0.1,0.775,1109051,2777601,7.6453276,0.7648875
12,-0.1,0.75,1074774,2691615,7.4097972,0.7415406
12,-0.1,0.725,1040574,2605659,7.1748161,0.7182366
12,-0.1,0.7,1004333,2514584,6.9259911,0.6935256
12,-0.1,0.6749999999999999,968098,2423546,6.6771522,0.6688246
12,-0.1,0.65,932495,2334116,6.4322290,0.6445615
12,-0.1,0.625,897008,2245023,6.1884060,0.6203592
12,-0.1,0.6,861906,2156727,5.9471107,0.5964321
12,-0.1,0.575,826825,2068596,5.7061939,0.5725210
12,-0.1,0.5499999999999999,792277,1981712,5.4688220,0.5489699
12,-0.1,0.525,758085,1895842,5.2339239,0.5256475
12,-0.1,0.49999999999999994,723397,1808664,4.9955626,0.5020053
12,-0.1,0.475,688590,1721239,4.7567620,0.4782784
12,-0.1,0.44999999999999996,653562,1633132,4.5157413,0.4543678
12,-0.1,0.425,618476,1544956,4.2745290,0.4304440
12,-0.1,0.39999999999999997,583522,1457126,4.0345120,0.4066128
12,-0.1,0.37499999999999994,548790,1369866,3.7960615,0.3829549
12,-0.1,0.35,513870,1282012,3.5559483,0.3590996
12,-0.1,0.32499999999999996,479053,1194495,3.3167284,0.3353542
12,-0.1,0.29999999999999993,443594,1105384,3.0729396,0.3111768
12,-0.1,0.27499999999999997,407605,1014854,2.8256669,0.2866307
12,-0.1,0.24999999999999994,372063,925515,2.5814588,0.2623610
12,-0.1,0.22499999999999995,337639,838922,2.3451037,0.2388775
12,-0.1,0.19999999999999996,302997,752024,2.1070862,0.2152660
12,-0.1,0.17499999999999996,268329,664762,1.8688899,0.1916134
12,-0.1,0.14999999999999994,233592,577459,1.6302196,0.1679358
12,-0.1,0.12499999999999994,199194,490849,1.3938854,0.1444349
12,-0.1,0.09999999999999995,164653,404151,1.1565547,0.1209271
12,-0.1,0.07499999999999994,129786,316484,0.9169912,0.0971270
12,-0.1,0.04999999999999995,94758,228430,0.6763215,0.0732251
12,-0.1,0.024999999999999946,60316,141763,0.4396093,0.0497190
