set_voltage,set_current_min,set_current_max,adc_voltage,adc_current,meas_voltage,meas_current
0.0,-1,1,55554,-15412,0.4069594,0.0056620
0.1,-1,1,69774,-14430,0.5046619,0.0055928
0.2,-1,1,83555,-13481,0.5993482,0.0055288
0.3,-1,1,97514,-12522,0.6954841,0.0054539
0.4,-1,1,111290,-11559,0.7899092,0.0053841
0.5,-1,1,124975,-10637,0.8839428,0.0053127
0.6,-1,1,141651,-9480,0.9985749,0.0052253
0.7000000000000001,-1,1,155497,-8529,1.0936459,0.0051576
0.8,-1,1,169257,-7577,1.1881878,0.0050934
0.9,-1,1,183107,-6633,1.2833482,0.0050217
1.0,-1,1,196928,-5687,1.3783779,0.0049547
1.1,-1,1,210680,-4730,1.4727206,0.0048826
1.2,-1,1,227255,-3600,1.5866793,0.0047904
1.3,-1,1,241448,-2624,1.6843750,0.0047230
1.4000000000000001,-1,1,255567,-1672,1.7812051,0.0046468
1.5,-1,1,269608,-659,1.8776777,0.0045890
1.6,-1,1,283819,293,1.9753183,0.0045096
1.7000000000000002,-1,1,300786,1463,2.0918949,0.0044217
1.8,-1,1,314982,2449,2.1894324,0.0043551
1.9000000000000001,-1,1,329042,3391,2.2860355,0.0042846
2.0,-1,1,343184,4377,2.3832023,0.0042108
2.1,-1,1,357306,5356,2.4802313,0.0041462
2.2,-1,1,371289,6324,2.5764842,0.0040707
2.3000000000000003,-1,1,388329,7479,2.6933837,0.0039857
2.4,-1,1,402626,8462,2.7909489,0.0039102
2.5,-1,1,416690,9448,2.8882461,0.0038360
2.6,-1,1,430768,10405,2.9849727,0.0037650
2.7,-1,1,444782,11409,3.0812876,0.0037077
2.8000000000000003,-1,1,458611,12330,3.1757536,0.0036382
2.9000000000000004,-1,1,475211,13494,3.2905438,0.0035567
3.0,-1,1,489117,14431,3.3858759,0.0034774
3.1,-1,1,502972,15413,3.4808922,0.0034087
3.2,-1,1,516833,16344,3.5754752,0.0033430
3.3000000000000003,-1,1,530565,17314,3.6706560,0.0032770
3.4000000000000004,-1,1,544416,18258,3.7658644,0.0032022
3.5,-1,1,561160,19359,3.8805790,0.0031044
3.6,-1,1,574963,20360,3.9757051,0.0030480
3.7,-1,1,588811,21327,4.0708518,0.0029820
3.8000000000000003,-1,1,603126,22268,4.1696258,0.0029057
3.9000000000000004,-1,1,617262,23254,4.2653360,0.0028331
4.0,-1,1,631347,24234,4.3631277,0.0027679
4.1000000000000005,-1,1,648396,25413,4.4791274,0.0026809
4.2,-1,1,662597,26402,4.5778189,0.0026068
4.3,-1,1,676646,27436,4.6745048,0.0025558
4.4,-1,1,690696,28342,4.7708812,0.0024760
4.5,-1,1,704871,29316,4.8682747,0.0023876
4.6000000000000005,-1,1,719053,30278,4.9654341,0.0023217
4.7,-1,1,735980,31434,5.0820179,0.0022454
4.8,-1,1,750239,32378,5.1799879,0.0021637
4.9,-1,1,764274,33382,5.2764196,0.0020900
5.0,-1,1,778496,34351,5.3738470,0.0020165
5.1000000000000005,-1,1,792810,35361,5.4724846,0.0019733
5.2,-1,1,806810,36367,5.5694036,0.0018883
5.300000000000001,-1,1,823597,37610,5.6841455,0.0018308
5.4,-1,1,837654,38474,5.7805219,0.0017315
5.5,-1,1,851671,39489,5.8769054,0.0016850
5.6000000000000005,-1,1,865638,40504,5.9730554,0.0016185
5.7,-1,1,879595,41462,6.0689297,0.0015395
5.800000000000001,-1,1,896560,42625,6.1851287,0.0014617
5.9,-1,1,910421,43566,6.2805638,0.0013949
6.0,-1,1,924564,44494,6.3774214,0.0013043
6.1000000000000005,-1,1,938674,45449,6.4746838,0.0012296
6.2,-1,1,952580,46437,6.5700846,0.0011771
6.300000000000001,-1,1,967149,47511,6.6706662,0.0011111
6.4,-1,1,984482,48643,6.7893934,0.0010092
6.5,-1,1,998649,49637,6.8877482,0.0009380
6.6000000000000005,-1,1,1013229,50667,6.9869347,0.0008818
6.7,-1,1,1027720,51670,7.0862241,0.0008047
6.800000000000001,-1,1,1041986,52666,7.1845179,0.0007383
6.9,-1,1,1056300,53707,7.2830105,0.0006786
7.0,-1,1,1073686,54872,7.4023218,0.0005801
7.1000000000000005,-1,1,1087949,55817,7.5003195,0.0005024
7.2,-1,1,1102327,56731,7.5991082,0.0004104
7.300000000000001,-1,1,1116701,57782,7.6978683,0.0003199
7.4,-1,1,1131176,58803,7.7973228,0.0006449
7.5,-1,1,1145686,59798,7.8970180,0.0002106
7.6000000000000005,-1,1,1162198,60968,8.0104685,0.0001359
7.7,-1,1,1176118,61889,8.1056013,0.0000578
7.800000000000001,-1,1,1189870,62718,8.2005959,-0.0000505
7.9,-1,1,1203654,63719,8.2948780,-0.0000999
8.0,-1,1,1217448,64592,8.3900795,-0.0001966
8.1,-1,1,1231239,65512,8.4845800,-0.0002630
8.200000000000001,-1,1,1247673,66633,8.5977488,0.0000212
8.3,-1,1,1261630,67631,8.6936436,-0.0004144
8.4,-1,1,1275295,68619,8.7875328,-0.0004718
8.5,-1,1,1289082,69545,8.8822613,-0.0005807
8.6,-1,1,1302853,70476,8.9768782,-0.0006317
8.700000000000001,-1,1,1316584,71494,9.0710764,-0.0006704
8.8,-1,1,1333864,72654,9.1899481,-0.0007685
8.9,-1,1,1348096,73508,9.2877331,-0.0008731
9.0,-1,1,1362168,74549,9.3844185,-0.0009397
9.1,-1,1,1376479,75638,9.4827461,-0.0009672
9.200000000000001,-1,1,1390788,76580,9.5809097,-0.0010510
9.3,-1,1,1404885,77537,9.6779184,-0.0011115
9.4,-1,1,1422057,78890,9.7959032,-0.0011982
9.5,-1,1,1436247,79881,9.8938246,-0.0012296
9.6,-1,1,1450331,80831,9.9910202,-0.0013122
9.700000000000001,-1,1,1464669,81822,10.0881386,-0.0013785
9.8,-1,1,1478797,82836,10.1857510,-0.0014400
9.9,-1,1,1493050,83841,10.2837763,-0.0015056
10.0,-1,1,1510128,85210,10.4010191,-0.0015446
10.100000000000001,-1,1,1524030,86470,10.4965372,-0.0015221
10.200000000000001,-1,1,1537904,87643,10.5918617,-0.0015340
10.3,-1,1,1551810,88650,10.6868649,-0.0015755
10.4,-1,1,1565555,89817,10.7823963,-0.0015981
10.5,-1,1,1582201,91173,10.8961897,-0.0016085
10.600000000000001,-1,1,1596208,92504,10.9925117,-0.0016219
10.700000000000001,-1,1,1609835,93953,11.0860224,-0.0015514
10.8,-1,1,1623813,94690,11.1820421,-0.0016773
10.9,-1,1,1637629,94682,11.2771196,-0.0019853
11.0,-1,1,1651464,95094,11.3721075,-0.0021960
11.100000000000001,-1,1,1668072,95809,11.4867125,-0.0023980
11.200000000000001,-1,1,1682274,96965,11.5837965,-0.0024324
11.3,-1,1,1696201,97788,11.6790676,-0.0025394
11.4,-1,1,1710079,98832,11.7751474,-0.0025813
11.5,-1,1,1724197,99607,11.8715181,-0.0026953
11.600000000000001,-1,1,1738111,100947,11.9677296,-0.0027303
11.700000000000001,-1,1,1724525,99881,11.8764915,-0.0026520
11.8,-1,1,1725040,99804,11.8776331,-0.0026353
11.9,-1,1,1724337,99776,11.8766289,-0.0026820
12.0,-1,1,1724684,99669,11.8753586,-0.0027076
11.9,-1,1,1724413,99776,11.8733244,-0.0027058
11.8,-1,1,1724285,99820,11.8753586,-0.0026651
11.7,-1,1,1724617,99670,11.8748980,-0.0026806
11.6,-1,1,1724606,99856,11.8746510,-0.0026985
11.5,-1,1,1724143,99744,11.8713665,-0.0026723
11.4,-1,1,1710077,98676,11.7748251,-0.0026019
11.3,-1,1,1695984,97792,11.6779947,-0.0025198
11.2,-1,1,1682174,96955,11.5831099,-0.0024328
11.1,-1,1,1667993,95992,11.4856749,-0.0023595
11.0,-1,1,1651304,94971,11.3709135,-0.0022371
10.9,-1,1,1637570,94802,11.2766457,-0.0019485
10.8,-1,1,1623676,94614,11.1811829,-0.0016496
10.7,-1,1,1609837,93902,11.0860977,-0.0015659
10.6,-1,1,1596016,92377,10.9911375,-0.0016179
10.5,-1,1,1582105,91073,10.8950624,-0.0016376
10.4,-1,1,1565499,89707,10.7817574,-0.0016249
10.3,-1,1,1551759,88688,10.6870565,-0.0015760
10.2,-1,1,1537926,87432,10.5920134,-0.0015916
10.1,-1,1,1523912,86298,10.4957266,-0.0015613
10.0,-1,1,1510199,85108,10.4015074,-0.0015199
9.9,-1,1,1493001,83865,10.2833443,-0.0014985
9.8,-1,1,1478800,82686,10.1857719,-0.0014823
9.7,-1,1,1464527,81741,10.0877047,-0.0013975
9.6,-1,1,1450358,80689,9.9905729,-0.0013505
9.5,-1,1,1436294,80016,9.8937702,-0.0012358
9.4,-1,1,1421983,78755,9.7953939,-0.0011614
9.3,-1,1,1404916,77504,9.6781311,-0.0011364
9.2,-1,1,1390795,76627,9.5812321,-0.0010389
9.1,-1,1,1376598,75696,9.4838390,-0.0009548
9.0,-1,1,1362315,74717,9.3854294,-0.0009552
8.9,-1,1,1348203,73614,9.2879868,-0.0008857
8.8,-1,1,1333886,72704,9.1901617,-0.0007843
8.7,-1,1,1316587,71532,9.0713034,-0.0006605
8.6,-1,1,1302841,70578,8.9776678,-0.0005791
8.5,-1,1,1289063,69503,8.8822327,-0.0005975
8.4,-1,1,1275178,68419,8.7867289,-0.0005265
8.299999999999999,-1,1,1261488,67705,8.6926680,-0.0003919
8.2,-1,1,1247707,66733,8.5980854,-0.0003292
8.1,-1,1,1231155,65609,8.4842567,-0.0002628
8.0,-1,1,1217482,64418,8.3894196,-0.0002391
7.8999999999999995,-1,1,1203529,63620,8.2953653,-0.0001294
7.8,-1,1,1189978,62718,8.2013388,-0.0000491
7.7,-1,1,1176074,61870,8.1058073,0.0000045
7.6,-1,1,1162208,60742,8.0103512,0.0000657
7.5,-1,1,1145674,59577,7.8969355,0.0001464
7.3999999999999995,-1,1,1131178,58511,7.7971029,0.0002036
7.3,-1,1,1116769,57496,7.6976075,0.0002882
7.2,-1,1,1102386,56508,7.5995131,0.0003422
7.1,-1,1,1087997,55635,7.5006499,0.0004222
7.0,-1,1,1073718,54623,7.4021158,0.0005132
6.8999999999999995,-1,1,1056349,53378,7.2832031,0.0005961
6.8,-1,1,1042025,52366,7.1847858,0.0006645
6.699999999999999,-1,1,1027674,51390,7.0861831,0.0007441
6.6,-1,1,1013182,50378,6.9866123,0.0007943
6.5,-1,1,998622,49372,6.8869028,0.0008665
6.3999999999999995,-1,1,984490,48374,6.7894754,0.0009520
6.3,-1,1,967150,47235,6.6703358,0.0010347
6.199999999999999,-1,1,952596,46154,6.5703387,0.0010853
6.1,-1,1,938567,45272,6.4739490,0.0008452
6.0,-1,1,924588,44330,6.3779020,0.0009148
5.8999999999999995,-1,1,910468,43305,6.2809415,0.0013128
5.8,-1,1,896394,42345,6.1841116,0.0013866
5.699999999999999,-1,1,879588,41231,6.0687170,0.0014832
5.6,-1,1,865580,40220,5.9722099,0.0015417
5.5,-1,1,851590,39195,5.8763490,0.0016033
