set_voltage,set_current_min,set_current_max,adc_voltage,adc_current,meas_voltage,meas_current
0.05,-0.5,0.5,-236,1801,0.0188,0.00454
0.1,-0.5,0.5,6173,1051,0.0731,0.00388
0.15,-0.5,0.5,12517,962,0.1269,0.00379
0.2,-0.5,0.5,19097,981,0.1827,0.00381
0.25,-0.5,0.5,25583,961,0.2377,0.00384
0.3,-0.5,0.5,30019,1021,0.2749,0.00385
0.35,-0.5,0.5,36534,1053,0.3306,0.00387
0.4,-0.5,0.5,43047,1067,0.3858,0.00389
0.45,-0.5,0.5,49514,1084,0.4406,0.00387
0.5,-0.5,0.5,55924,1071,0.4950,0.00389
0.55,-0.5,0.5,62482,1094,0.5506,0.00391
0.6,-0.5,0.5,68986,1103,0.6057,0.00392
0.65,-0.5,0.5,73171,1109,0.6412,0.00392
0.7,-0.5,0.5,79625,1095,0.6959,0.00391
0.75,-0.5,0.5,85970,1145,0.7497,0.00396
0.8,-0.5,0.5,92461,1152,0.8046,0.00396
0.85,-0.5,0.5,98918,1167,0.8595,0.00398
0.9,-0.5,0.5,105477,1186,0.9154,0.00401
0.95,-0.5,0.5,112140,1197,0.9716,0.00400
1.0,-0.5,0.5,116180,1188,1.0061,0.00399
1.05,-0.5,0.5,122320,1177,1.0579,0.00398
1.1,-0.5,0.5,128446,1198,1.1096,0.00400
1.15,-0.5,0.5,134543,1172,1.1616,0.00398
1.2,-0.5,0.5,140580,1119,1.2128,0.00393
1.25,-0.5,0.5,146639,1129,1.2641,0.00393
1.3,-0.5,0.5,152667,1069,1.3152,0.00391
1.35,-0.5,0.5,156767,1061,1.3500,0.00388
1.4,-0.5,0.5,162957,1062,1.4023,0.00388
1.45,-0.5,0.5,169056,1044,1.4542,0.00389
1.5,-0.5,0.5,175091,1105,1.5054,0.00392
1.55,-0.5,0.5,181265,1164,1.5577,0.00397
1.6,-0.5,0.5,187448,1180,1.6101,0.00399
1.65,-0.5,0.5,193615,1169,1.6626,0.00398
1.7,-0.5,0.5,197691,1113,1.6965,0.00393
1.75,-0.5,0.5,203712,1038,1.7479,0.00386
1.8,-0.5,0.5,209923,983,1.8000,0.00381
1.85,-0.5,0.5,216003,943,1.8522,0.00378
1.9,-0.5,0.5,222172,951,1.9046,0.00378
1.95,-0.5,0.5,228293,922,1.9565,0.00376
2.0,-0.5,0.5,232366,932,1.9910,0.00377
2.05,-0.5,0.5,238489,970,2.0429,0.00380
2.1,-0.5,0.5,245074,972,2.0979,0.00382
2.15,-0.5,0.5,251339,1019,2.1516,0.00384
2.2,-0.5,0.5,257602,964,2.2050,0.00379
2.25,-0.5,0.5,263927,995,2.2586,0.00381
2.3,-0.5,0.5,270120,988,2.3111,0.00382
2.35,-0.5,0.5,274413,994,2.3475,0.00382
2.4,-0.5,0.5,280679,965,2.4006,0.00380
2.45,-0.5,0.5,286969,1544,2.4538,0.00431
2.5,-0.5,0.5,293385,1413,2.5077,0.00419
2.55,-0.5,0.5,299677,1285,2.5614,0.00408
2.6,-0.5,0.5,305978,1229,2.6152,0.00403
2.65,-0.5,0.5,312348,1154,2.6692,0.00398
2.7,-0.5,0.5,316482,1106,2.7042,0.00392
2.75,-0.5,0.5,322728,1087,2.7572,0.00390
2.8,-0.5,0.5,329147,1023,2.8111,0.00385
2.85,-0.5,0.5,335395,998,2.8645,0.00383
2.9,-0.5,0.5,341704,999,2.9177,0.00383
2.95,-0.5,0.5,347797,947,2.9702,0.00378
3.0,-0.5,0.5,354109,912,3.0236,0.00375
3.05,-0.5,0.5,358273,888,3.0588,0.00373
3.1,-0.5,0.5,364561,861,3.1119,0.00370
3.15,-0.5,0.5,370852,807,3.1657,0.00366
3.2,-0.5,0.5,377358,815,3.2204,0.00366
3.25,-0.5,0.5,383416,736,3.2717,0.00359
3.3,-0.5,0.5,389392,707,3.3224,0.00357
3.35,-0.5,0.5,393378,698,3.3562,0.00356
3.4,-0.5,0.5,399367,697,3.4069,0.00356
3.45,-0.5,0.5,405211,680,3.4565,0.00354
3.5,-0.5,0.5,411295,684,3.5081,0.00355
3.55,-0.5,0.5,417229,670,3.5584,0.00353
3.6,-0.5,0.5,423265,671,3.6096,0.00354
3.65,-0.5,0.5,429285,647,3.6607,0.00351
3.7,-0.5,0.5,433293,593,3.6946,0.00347
3.75,-0.5,0.5,439215,574,3.7455,0.00345
3.8,-0.5,0.5,445310,504,3.7965,0.00341
3.85,-0.5,0.5,451353,469,3.8478,0.00334
3.9,-0.5,0.5,457450,430,3.8995,0.00332
3.95,-0.5,0.5,463463,439,3.9504,0.00334
4.0,-0.5,0.5,469426,393,4.0010,0.00329
4.05,-0.5,0.5,473513,404,4.0357,0.00330
4.1,-0.5,0.5,479457,405,4.0861,0.00330
4.15,-0.5,0.5,485570,390,4.1379,0.00329
4.2,-0.5,0.5,491557,384,4.1886,0.00328
4.25,-0.5,0.5,497572,354,4.2395,0.00325
4.3,-0.5,0.5,503584,305,4.2910,0.00321
4.35,-0.5,0.5,510114,329,4.3464,0.00323
4.4,-0.5,0.5,514314,322,4.3814,0.00323
4.45,-0.5,0.5,520556,318,4.4345,0.00323
4.5,-0.5,0.5,526865,370,4.4880,0.00327
4.55,-0.5,0.5,533081,339,4.5407,0.00327
4.6,-0.5,0.5,539379,400,4.5941,0.00325
4.65,-0.5,0.5,545655,375,4.6473,0.00331
4.7,-0.5,0.5,551854,390,4.6999,0.00327
4.75,-0.5,0.5,556115,416,4.7360,0.00331
4.8,-0.5,0.5,562385,406,4.7894,0.00330
