set_voltage,set_current_min,set_current_max,adc_voltage,adc_current,meas_voltage,meas_current
0.0,-0.1,0.1,-2384,1913,0.0006,0.00169
0.02,-0.1,0.1,-2385,1889,0.0006,0.00169
0.04,-0.1,0.1,-476,1536,0.0168,0.00137
0.06,-0.1,0.1,1571,1232,0.0341,0.00110
0.08,-0.1,0.1,3816,956,0.0532,0.00085
0.1,-0.1,0.1,6058,777,0.0722,0.00069
0.12,-0.1,0.1,8266,655,0.0909,0.00059
0.14,-0.1,0.1,10334,592,0.1084,0.00053
0.16,-0.1,0.1,12519,532,0.1269,0.00048
0.18,-0.1,0.1,16805,512,0.1633,0.00046
0.2,-0.1,0.1,18925,503,0.1813,0.00043
0.22,-0.1,0.1,21092,452,0.1996,0.00040
0.24,-0.1,0.1,23358,494,0.2188,0.00044
0.26,-0.1,0.1,25542,450,0.2374,0.00040
0.28,-0.1,0.1,27720,439,0.2558,0.00039
0.3,-0.1,0.1,29859,426,0.2740,0.00038
0.32,-0.1,0.1,34163,457,0.3105,0.00041
0.34,-0.1,0.1,36357,441,0.3291,0.00039
0.36,-0.1,0.1,38446,465,0.3468,0.00038
0.38,-0.1,0.1,40709,427,0.3660,0.00038
0.4,-0.1,0.1,42918,424,0.3847,0.00037
0.42,-0.1,0.1,45028,414,0.4026,0.00037
0.44,-0.1,0.1,47168,426,0.4207,0.00038
0.46,-0.1,0.1,51425,409,0.4568,0.00038
0.48,-0.1,0.1,53603,423,0.4753,0.00038
0.5,-0.1,0.1,55769,401,0.4937,0.00036
0.52,-0.1,0.1,57907,420,0.5118,0.00038
0.54,-0.1,0.1,60086,418,0.5303,0.00037
0.56,-0.1,0.1,62270,385,0.5488,0.00036
0.58,-0.1,0.1,64433,391,0.5671,0.00035
0.6,-0.1,0.1,68728,369,0.6035,0.00033
0.62,-0.1,0.1,70841,399,0.6215,0.00036
0.64,-0.1,0.1,72905,380,0.6390,0.00034
0.66,-0.1,0.1,75122,385,0.6577,0.00033
0.68,-0.1,0.1,77232,399,0.6756,0.00036
0.7,-0.1,0.1,79363,373,0.6937,0.00033
0.72,-0.1,0.1,81516,391,0.7120,0.00035
0.74,-0.1,0.1,85822,393,0.7485,0.00035
0.76,-0.1,0.1,87961,359,0.7666,0.00032
0.78,-0.1,0.1,90116,372,0.7849,0.00033
0.8,-0.1,0.1,92292,368,0.8033,0.00033
0.82,-0.1,0.1,94446,380,0.8216,0.00034
0.84,-0.1,0.1,96661,345,0.8404,0.00031
0.86,-0.1,0.1,98758,339,0.8582,0.00030
0.88,-0.1,0.1,103094,351,0.8949,0.00031
0.9,-0.1,0.1,105234,356,0.9131,0.00032
0.92,-0.1,0.1,107509,357,0.9324,0.00032
0.94,-0.1,0.1,109602,340,0.9501,0.00030
0.96,-0.1,0.1,111862,328,0.9693,0.00029
0.98,-0.1,0.1,113955,330,0.9870,0.00030
1.0,-0.1,0.1,116015,344,1.0045,0.00031
1.02,-0.1,0.1,120112,274,1.0392,0.00024
1.04,-0.1,0.1,122100,264,1.0561,0.00024
1.06,-0.1,0.1,124084,228,1.0729,0.00020
1.08,-0.1,0.1,126146,133,1.0904,0.00014
1.1,-0.1,0.1,128255,-47,1.1083,-0.00004
1.12,-0.1,0.1,130265,-273,1.1253,-0.00024
1.14,-0.1,0.1,132293,-637,1.1425,-0.00057
1.16,-0.1,0.1,136342,-1921,1.1768,-0.00172
1.18,-0.1,0.1,138297,-2832,1.1934,-0.00253
1.2,-0.1,0.1,140359,-3780,1.2109,-0.00338
1.22,-0.1,0.1,142383,-4901,1.2280,-0.00438
1.24,-0.1,0.1,144429,-6107,1.2454,-0.00546
1.26,-0.1,0.1,146370,-7284,1.2619,-0.00651
1.28,-0.1,0.1,148390,-8481,1.2790,-0.00758
1.3,-0.1,0.1,152477,-10936,1.3136,-0.00978
1.32,-0.1,0.1,154543,-12082,1.3311,-0.01080
1.34,-0.1,0.1,156629,-13239,1.3488,-0.01184
1.36,-0.1,0.1,158650,-14304,1.3660,-0.01279
1.38,-0.1,0.1,160824,-15279,1.3844,-0.01366
1.4,-0.1,0.1,162787,-16176,1.4010,-0.01446
1.42,-0.1,0.1,164805,-17008,1.4182,-0.01521
1.44,-0.1,0.1,168818,-18403,1.4522,-0.01645
1.46,-0.1,0.1,170837,-18952,1.4693,-0.01694
1.48,-0.1,0.1,172889,-19476,1.4867,-0.01741
1.5,-0.1,0.1,174971,-19912,1.5044,-0.01780
1.52,-0.1,0.1,177048,-20283,1.5220,-0.01813
1.54,-0.1,0.1,179039,-20576,1.5388,-0.01843
1.56,-0.1,0.1,181136,-20839,1.5566,-0.01863
1.58,-0.1,0.1,185229,-21232,1.5913,-0.01898
1.6,-0.1,0.1,187197,-21364,1.6080,-0.01910
1.62,-0.1,0.1,189214,-21481,1.6251,-0.01921
1.64,-0.1,0.1,191309,-21588,1.6429,-0.01930
1.66,-0.1,0.1,193493,-21688,1.6614,-0.01939
1.68,-0.1,0.1,195550,-21760,1.6788,-0.01945
1.7,-0.1,0.1,197610,-21784,1.6963,-0.01948
1.72,-0.1,0.1,199645,-21881,1.7136,-0.01956
1.74,-0.1,0.1,203602,-21965,1.7471,-0.01967
1.76,-0.1,0.1,205612,-22056,1.7642,-0.01972
1.78,-0.1,0.1,207691,-22061,1.7818,-0.01972
1.8,-0.1,0.1,209821,-22124,1.7999,-0.01978
1.82,-0.1,0.1,211867,-22110,1.8172,-0.01977
1.84,-0.1,0.1,213833,-22132,1.8339,-0.01979
1.86,-0.1,0.1,215929,-22214,1.8516,-0.01986
1.88,-0.1,0.1,220020,-22199,1.8863,-0.01985
1.9,-0.1,0.1,222021,-22229,1.9033,-0.01987
1.92,-0.1,0.1,224131,-22219,1.9212,-0.01987
1.94,-0.1,0.1,226138,-22298,1.9382,-0.01994
1.96,-0.1,0.1,228182,-22289,1.9555,-0.01995
1.98,-0.1,0.1,230276,-22298,1.9733,-0.01994
2.0,-0.1,0.1,232313,-22318,1.9906,-0.01995
2.02,-0.1,0.1,236324,-22385,2.0246,-0.02001
2.04,-0.1,0.1,238435,-22387,2.0425,-0.02002
2.06,-0.1,0.1,240424,-22423,2.0593,-0.02006
2.08,-0.1,0.1,242735,-22432,2.0789,-0.02006
2.1,-0.1,0.1,244848,-22436,2.0968,-0.02006
2.12,-0.1,0.1,246970,-22467,2.1148,-0.02009
2.14,-0.1,0.1,248991,-22474,2.1320,-0.02009
2.16,-0.1,0.1,253212,-22516,2.1678,-0.02013
2.18,-0.1,0.1,255294,-22526,2.1854,-0.02014
