set_voltage,set_current_min,set_current_max,adc_voltage,adc_current,meas_voltage,meas_current
0.05,-0.5,0.5,-262,1649,0.0185,0.00440
0.1,-0.5,0.5,6144,2408,0.0731,0.00508
0.15,-0.5,0.5,12532,3571,0.1271,0.00611
0.2,-0.5,0.5,19044,4786,0.1823,0.00721
0.25,-0.5,0.5,25648,6064,0.2383,0.00832
0.3,-0.5,0.5,30043,6896,0.2755,0.00906
0.35,-0.5,0.5,36394,8156,0.3294,0.01017
0.4,-0.5,0.5,42978,9406,0.3852,0.01133
0.45,-0.5,0.5,49333,10657,0.4391,0.01239
0.5,-0.5,0.5,55734,11915,0.4934,0.01351
0.55,-0.5,0.5,62281,13130,0.5489,0.01458
0.6,-0.5,0.5,68710,14397,0.6034,0.01571
0.65,-0.5,0.5,73010,15246,0.6398,0.01646
0.7,-0.5,0.5,79424,16467,0.6942,0.01754
0.75,-0.5,0.5,85891,17695,0.7491,0.01863
0.8,-0.5,0.5,92346,18973,0.8038,0.01977
0.85,-0.5,0.5,98766,20192,0.8582,0.02085
0.9,-0.5,0.5,105326,21488,0.9138,0.02200
0.95,-0.5,0.5,111934,22728,0.9699,0.02310
1.0,-0.5,0.5,116043,23537,1.0047,0.02382
1.05,-0.5,0.5,122184,24688,1.0571,0.02489
1.1,-0.5,0.5,128348,25903,1.1090,0.02592
1.15,-0.5,0.5,134405,26996,1.1604,0.02693
1.2,-0.5,0.5,140431,28153,1.2115,0.02790
1.25,-0.5,0.5,146549,29291,1.2634,0.02894
1.3,-0.5,0.5,152556,30400,1.3143,0.02990
1.35,-0.5,0.5,156666,31186,1.3492,0.03060
1.4,-0.5,0.5,162894,32349,1.4020,0.03163
1.45,-0.5,0.5,168970,33520,1.4534,0.03267
1.5,-0.5,0.5,174997,34691,1.5046,0.03371
1.55,-0.5,0.5,181246,35943,1.5576,0.03482
1.6,-0.5,0.5,187357,37137,1.6094,0.03588
1.65,-0.5,0.5,193587,38319,1.6622,0.03693
1.7,-0.5,0.5,197696,39070,1.6970,0.03760
1.75,-0.5,0.5,203703,40143,1.7480,0.03857
1.8,-0.5,0.5,209956,41325,1.8005,0.03959
1.85,-0.5,0.5,216084,42469,1.8529,0.04061
1.9,-0.5,0.5,222120,43642,1.9041,0.04165
1.95,-0.5,0.5,228305,44801,1.9566,0.04270
2.0,-0.5,0.5,232387,45610,1.9912,0.04339
2.05,-0.5,0.5,238541,46779,2.0434,0.04443
2.1,-0.5,0.5,245066,48050,2.0987,0.04556
2.15,-0.5,0.5,251285,49245,2.1514,0.04662
2.2,-0.5,0.5,257689,50456,2.2057,0.04769
2.25,-0.5,0.5,263976,51684,2.2590,0.04878
2.3,-0.5,0.5,270203,52865,2.3118,0.04983
2.35,-0.5,0.5,274366,53659,2.3471,0.05053
2.4,-0.5,0.5,280664,54872,2.4004,0.05161
2.45,-0.5,0.5,286834,56326,2.4528,0.05290
2.5,-0.5,0.5,293265,57375,2.5074,0.05385
2.55,-0.5,0.5,299502,58486,2.5602,0.05481
2.6,-0.5,0.5,305869,59626,2.6142,0.05582
2.65,-0.5,0.5,312230,60755,2.6682,0.05682
2.7,-0.5,0.5,316365,61512,2.7032,0.05748
2.75,-0.5,0.5,322678,62682,2.7567,0.05853
2.8,-0.5,0.5,329087,63863,2.8108,0.05958
2.85,-0.5,0.5,335276,65003,2.8636,0.06059
2.9,-0.5,0.5,341649,66202,2.9176,0.06166
2.95,-0.5,0.5,347844,67387,2.9701,0.06271
3.0,-0.5,0.5,354037,68540,3.0226,0.06374
3.05,-0.5,0.5,358254,69352,3.0584,0.06445
3.1,-0.5,0.5,364518,70499,3.1115,0.06548
3.15,-0.5,0.5,370799,71670,3.1648,0.06651
3.2,-0.5,0.5,377340,72877,3.2202,0.06758
3.25,-0.5,0.5,383351,74029,3.2712,0.06860
3.3,-0.5,0.5,389347,75111,3.3220,0.06956
3.35,-0.5,0.5,393375,75869,3.3562,0.07027
3.4,-0.5,0.5,399367,76995,3.4070,0.07125
3.45,-0.5,0.5,405236,78138,3.4567,0.07224
3.5,-0.5,0.5,411244,79304,3.5077,0.07328
3.55,-0.5,0.5,417181,80414,3.5580,0.07426
3.6,-0.5,0.5,423223,81543,3.6093,0.07525
3.65,-0.5,0.5,429131,82631,3.6593,0.07623
3.7,-0.5,0.5,433140,83395,3.6932,0.07690
