Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D3,"sw.sw[0,0].npx.device",LED_SK6812MINI-E,68.100000,-23.850000,0.000000,bottom
D5,"sw.sw[1,0].npx.device",LED_SK6812MINI-E,49.050000,-23.850000,0.000000,bottom
D7,"sw.sw[2,0].npx.device",LED_SK6812MINI-E,30.000000,-23.850000,0.000000,bottom
D9,"sw.sw[0,1].npx.device",LED_SK6812MINI-E,68.100000,-42.900000,180.000000,bottom
D11,"sw.sw[1,1].npx.device",LED_SK6812MINI-E,49.050000,-42.900000,180.000000,bottom
D13,"sw.sw[2,1].npx.device",LED_SK6812MINI-E,30.000000,-42.900000,180.000000,bottom
D15,"sw.sw[0,2].npx.device",LED_SK6812MINI-E,68.100000,-61.950000,0.000000,bottom
D17,"sw.sw[1,2].npx.device",LED_SK6812MINI-E,49.050000,-61.950000,0.000000,bottom
D19,"sw.sw[2,2].npx.device",LED_SK6812MINI-E,30.000000,-61.950000,0.000000,bottom
D21,"sw.sw[0,3].npx.device",LED_SK6812MINI-E,68.100000,-81.000000,180.000000,bottom
D23,"sw.sw[1,3].npx.device",LED_SK6812MINI-E,49.050000,-81.000000,180.000000,bottom
D25,"sw.sw[2,3].npx.device",LED_SK6812MINI-E,30.000000,-81.000000,180.000000,bottom
FJ7,control.conn1,PinHeader_1x08_P2.00mm_Vertical,-66.000000,-38.000000,180.000000,bottom
FJ7,control.conn1,PinHeader_1x08_P2.00mm_Vertical,-118.000000,-38.000000,180.000000,bottom
FJ9,control.conn2,PinHeader_1x08_P2.00mm_Vertical,-96.000000,-38.000000,180.000000,bottom
FJ9,control.conn2,PinHeader_1x08_P2.00mm_Vertical,-44.000000,-38.000000,180.000000,bottom
J1,usb.conn,USB_C_Receptacle_XKB_U262-16XN-4BVC11,68.1,12.725,0.0,bottom
J2,mcu.sdi,PinHeader_1x04_P2.54mm_Vertical,51.900000,11.150000,90.000000,bottom
J3,oled.device,Hirose_FH12-30S-0.5SH_1x30-1MP_P0.50mm_Horizontal,48.1,-4.35,0.0,bottom
JJ8,btns.conn,Hirose_FH12-8S-0.5SH_1x08-1MP_P0.50mm_Horizontal,96.1,-0.8,180.0,bottom
JU4,mcu.ic,Holyiot-18010-NRF52840,93.100000,-78.000000,-90.000000,bottom
SW1,"sw.sw[0,0].sw",SW_Hotswap_Kailh_MX,68.100000,-18.850000,180.000000,bottom
SW2,"sw.sw[1,0].sw",SW_Hotswap_Kailh_MX,49.050000,-18.850000,180.000000,bottom
SW3,"sw.sw[2,0].sw",SW_Hotswap_Kailh_MX,30.000000,-18.850000,180.000000,bottom
SW4,"sw.sw[0,1].sw",SW_Hotswap_Kailh_MX,68.100000,-37.900000,180.000000,bottom
SW5,"sw.sw[1,1].sw",SW_Hotswap_Kailh_MX,49.050000,-37.900000,180.000000,bottom
SW6,"sw.sw[2,1].sw",SW_Hotswap_Kailh_MX,30.000000,-37.900000,180.000000,bottom
SW7,"sw.sw[0,2].sw",SW_Hotswap_Kailh_MX,68.100000,-56.950000,180.000000,bottom
SW8,"sw.sw[1,2].sw",SW_Hotswap_Kailh_MX,49.050000,-56.950000,180.000000,bottom
SW9,"sw.sw[2,2].sw",SW_Hotswap_Kailh_MX,30.000000,-56.950000,180.000000,bottom
SW10,"sw.sw[0,3].sw",SW_Hotswap_Kailh_MX,68.100000,-76.000000,180.000000,bottom
SW11,"sw.sw[1,3].sw",SW_Hotswap_Kailh_MX,49.050000,-76.000000,180.000000,bottom
SW12,"sw.sw[2,3].sw",SW_Hotswap_Kailh_MX,30.000000,-76.000000,180.000000,bottom
SW13,enc,RotaryEncoder_Bourns_PEC11S,30.000000,0.200000,90.000000,bottom
TU7,mcu.ic,ESP32-S3-WROOM-1,0.000000,0.000000,180.000000,bottom
