Ref,Val,Package,PosX,PosY,Rot,Side
"DD9","SK6812MINI-E","LED_SK6812MINI-E",-19.950000,56.000000,90.000000,bottom
"DD10","SK6812MINI-E","LED_SK6812MINI-E",-19.950000,36.950000,90.000000,bottom
"DD11","SK6812MINI-E","LED_SK6812MINI-E",-19.950000,17.900000,90.000000,bottom
"DD12","SK6812MINI-E","LED_SK6812MINI-E",-19.950000,-1.150000,90.000000,bottom
"DD13","SK6812MINI-E","LED_SK6812MINI-E",-19.950000,-20.200000,90.000000,bottom
"DD14","SK6812MINI-E","LED_SK6812MINI-E",-19.950000,-39.250000,90.000000,bottom
"DSW1","PG151101S11","SW_Hotswap_Kailh_MX",-25.000000,56.000000,-90.000000,bottom
"DSW2","PG151101S11","SW_Hotswap_Kailh_MX",-25.000000,36.950000,-90.000000,bottom
"DSW3","PG151101S11","SW_Hotswap_Kailh_MX",-25.000000,17.900000,-90.000000,bottom
"DSW4","PG151101S11","SW_Hotswap_Kailh_MX",-25.000000,-1.150000,-90.000000,bottom
"DSW5","PG151101S11","SW_Hotswap_Kailh_MX",-25.000000,-20.200000,-90.000000,bottom
"DSW6","PG151101S11","SW_Hotswap_Kailh_MX",-25.000000,-39.250000,-90.000000,bottom
"DU2","ESP32-C3-WROOM-02","ESP-WROOM-02",-25.000000,86.000000,180.000000,bottom
"TU5","ESP32-S3-WROOM-1-N16R8","ESP32-S3-WROOM-1",10.000000,62.000000,180.000000,bottom
