Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,,C_0805_2012Metric,120.000000,-113.000000,180.000000,top
C2,,C_0805_2012Metric,130.000000,-113.000000,180.000000,top
C3,,C_0603_1608Metric,115.000000,-95.000000,180.000000,top
C4,,C_1206_3216Metric,154.000000,-112.000000,90.000000,top
C5,,C_0603_1608Metric,145.000000,-112.000000,90.000000,top
C6,,C_0805_2012Metric,143.000000,-112.000000,90.000000,top
C7,,C_0603_1608Metric,156.000000,-112.000000,90.000000,top
C8,,C_0805_2012Metric,158.000000,-112.000000,90.000000,top
C9,,C_0603_1608Metric,175.000000,-100.000000,-90.000000,top
C10,,C_0805_2012Metric,172.000000,-100.000000,-90.000000,top
D1,B0520W (Shikues) - 20V 390mV@500mA 500mA SOD-123 Schottky Barrier Diodes (SBD) ROHS,D_SOD-123,130.000000,-117.000000,180.000000,top
D2,Device:D_Photo - VBPW34S,Osram_BPW34S-SMD,150.000000,-53.000000,0.0,top
D3,WS2812B (Worldsemi),LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,161.906000,-55.567000,165.000000,top
D4,WS2812B (Worldsemi),LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,182.527000,-67.473000,135.000000,top
D5,WS2812B (Worldsemi),LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,194.433000,-88.094000,105.000000,top
D6,WS2812B (Worldsemi),LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,194.433000,-111.906000,75.000000,top
D7,WS2812B (Worldsemi),LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,182.527000,-132.527000,45.000000,top
D8,WS2812B (Worldsemi),LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,161.906000,-144.433000,15.000000,top
D9,WS2812B (Worldsemi),LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,138.094000,-144.433000,-15.000000,top
D10,WS2812B (Worldsemi),LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,117.473000,-132.527000,-45.000000,top
D11,WS2812B (Worldsemi),LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,105.567000,-111.906000,-75.000000,top
D12,WS2812B (Worldsemi),LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,105.567000,-88.094000,-105.000000,top
D13,WS2812B (Worldsemi),LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,117.473000,-67.473000,-135.000000,top
D14,WS2812B (Worldsemi),LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,138.094000,-55.567000,-165.000000,top
J1,AFC01-S24FCA-00 (Jushuo),Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,150.0,-118.55,180.0,top
J2,PinHeader2.54 1x2 (Generic),PinHeader_1x02_P2.54mm_Vertical,186.000000,-98.460000,0.000000,top
J3,PinHeader2.54 1x3 (Generic),PinHeader_1x03_P2.54mm_Vertical,142.460000,-138.000000,90.000000,top
J4,PinHeader2.54 1x3 (Generic),PinHeader_1x03_P2.54mm_Vertical,152.475000,-138.000000,90.000000,top
J5,PinHeader2.54 1x3 (Generic),PinHeader_1x03_P2.54mm_Vertical,112.475000,-90.000000,90.000000,top
L1,,L_1210_3225Metric,125.000000,-117.000000,0.000000,top
R1,,R_0603_1608Metric,125.000000,-110.000000,180.000000,top
R2,,R_0603_1608Metric,120.000000,-110.000000,180.000000,top
R3,,R_0603_1608Metric,150.000000,-57.000000,0.000000,top
R4,,R_0603_1608Metric,152.000000,-112.000000,90.000000,top
TP1,5015 (Keystone) - gnd,TestPoint_TE_RCT_0805,164.000000,-117.000000,0.000000,top
TP2,5015 (Keystone) - vusb,TestPoint_TE_RCT_0805,136.000000,-117.000000,0.000000,top
TP3,5015 (Keystone) - v3v3,TestPoint_TE_RCT_0805,136.000000,-61.000000,0.000000,top
TP4,5015 (Keystone) - v12,TestPoint_TE_RCT_0805,130.000000,-110.000000,0.000000,top
U1,Freenove ESP32S3-WROOM,Freenove_ESP32S3-WROOM_Expansion,137.300000,-63.902500,0.000000,top
U2,AP3012K (Diodes Incorporated),SOT-23-5,125.000000,-113.000000,0.0,top
U3,SD18OB261-060 (Goertek),Knowles_LGA-5_3.5x2.65mm,115.000000,-99.230000,0.000000,top
U5,MAX98357AEWL+T (Maxim Integrated),Maxim_WLP-9_1.595x1.415_Layout3x3_P0.4mm_Ball0.27mm_Pad0.25mm_NSMD,180.000000,-100.000000,180.0,top
